# Omega_0                   delta_crit
6.584216596864299331e-02 1.661961741224037281e+00
6.689289104822700172e-02 1.662104371137688608e+00
6.794203483701299895e-02 1.662244568378922427e+00
6.898965251977899615e-02 1.662382417951571600e+00
7.003579639290599679e-02 1.662518000376466576e+00
7.108051606660299726e-02 1.662651392006113005e+00
7.212385864961000370e-02 1.662782665311947072e+00
7.316586891802899506e-02 1.662911889146981848e+00
7.420658946988699378e-02 1.663039128986357973e+00
7.524606086697699370e-02 1.663164447148020919e+00
7.628432176485300253e-02 1.663287902995435275e+00
7.732140903425599454e-02 1.663409553124324702e+00
7.835735786853899321e-02 1.663529451534219161e+00
7.939220188834400505e-02 1.663647649787405536e+00
8.042597323584099733e-02 1.663764197155495284e+00
8.145870265909499475e-02 1.663879140754707775e+00
8.249041959588500339e-02 1.663992525671834644e+00
8.352115224709000252e-02 1.664104395080570287e+00
8.455092764655300352e-02 1.664214790349723527e+00
8.557977172568199953e-02 1.664323751143775176e+00
8.660770937374399903e-02 1.664431315516476051e+00
8.763476449385999845e-02 1.664537519998027681e+00
8.866096005531999558e-02 1.664642399676393270e+00
8.968631814248899381e-02 1.664745988273213406e+00
9.071086000041199415e-02 1.664848318214732892e+00
9.173460607748600004e-02 1.664949420698141891e+00
9.275757606517799625e-02 1.665049325753663156e+00
9.377978893719600417e-02 1.665148062302918008e+00
9.480126298113700223e-02 1.665245658213169611e+00
9.582201583467399308e-02 1.665342140348870625e+00
9.684206451663600335e-02 1.665437534619796933e+00
9.786142545284200189e-02 1.665531866025989460e+00
9.888011450724400186e-02 1.665625158700683617e+00
9.989798257719399721e-02 1.665717421122019815e+00
1.009153743504399986e-01 1.665808705704014958e+00
1.019321386850799982e-01 1.665899019135470338e+00
1.029482894372199947e-01 1.665988382460786843e+00
1.039638400127800011e-01 1.666076816036108355e+00
1.049788033906200041e-01 1.666164339559661922e+00
1.059931921389099946e-01 1.666250972099962979e+00
1.070070184326099988e-01 1.666336732122678965e+00
1.080202940716700061e-01 1.666421637516203758e+00
1.090330304925300059e-01 1.666505705615400901e+00
1.100452387885099970e-01 1.666588953224908298e+00
1.110569297181400045e-01 1.666671396640325264e+00
1.120681137226299945e-01 1.666753051669112473e+00
1.130788009362599933e-01 1.666833933649927380e+00
1.140890012006799958e-01 1.666914057471354349e+00
